original,corrected,canonical,cluster_id
droopy wings,droopy wings,droopy wings,42
drop in milk production,drop in milk production,drop in milk production,97
drop on egg production,drop on egg production,drop on egg production,104
dry air,dry air,dry air,88
dry hair coat,dry hair coat,dry hair coat,40
dry or dull hair,dry or dull hair,dry or dull hair,173
dry or tacky gums,dry or tacky gums,dry or tacky gums,26
dry scabs,dry scabs,dry scabs,144
dry skin,dry skin,dry skin,144
dull,dull,dull,67
dull ness,dull ness,dull ness,67
dullness,dullness,dullness,67
dysentery,dysentery,dysentery,63
dyspnea,dyspnoea,dyspnea,316
ear infection,ear infection,ear infection,69
easily damage shell,easily damage shell,easily damage shell,373
edema,enema,enema,53
edema in lower jaw,enema in lower jaw,enema in lower jaw,53
edematous,exempt us,exempt us,205
effort to breath,effort to breath,effort to breath,9
egg production decreases,egg production decreases,egg production decreases,104
egg production stops,egg production stops,egg production stops,104
emaciation,emaciation,bonyness,148
endomeritis,end merits,end merits,133
enlarged lymph nodes,enlarged lymph nodes,enlarged lymph nodes,346
enlarged lymph nodes or swelling,enlarged lymph nodes or swelling,enlarged lymph nodes or swelling,346
enlarged skulls,enlarged skulls,enlarged skulls,301
enlarged thymus,enlarged thymus,enlarged thymus,416
enlargement of bones,enlargement of bones,enlargement of bones,29
enteritis,enteritis,enteritis,63
epistaxis,epistaxis,nosebleed,152
erythema,erythema,erythema,103
eventually death,eventually death,eventually death,25
excess salivary,excess salivary,excess salivary,21
excess salivation,excess salivation,excess salivation,21
excess sleeping,excess sleeping,excess sleeping,392
excession salivation,excess on salivation,excess on salivation,21
excessive blood loss,excessive blood loss,excessive blood loss,371
excessive drooling,excessive drooling,excessive drooling,21
excessive eye watering,excessive eye watering,excessive eye watering,155
excessive food intake,excessive food intake,excessive food intake,429
excessive grooming,excessive grooming,excessive grooming,270
excessive production,excessive production,excessive production,417
excitability,excitability,excitability,389
exercise in tolerance,exercise in tolerance,exercise in tolerance,364
exessive urination,excessive urination,excessive urination,22
exhaustion,exhaustion,exhaustion,413
experiencing changes in weight,experiencing changes in weight,experiencing changes in weight,214
extending its neck,extending its neck,extending its neck,14
extension of neck,extension of neck,extension of neck,14
extreme thirst,extreme thirst,extreme thirst,35
eye and skin change,eye and skin change,eye and skin change,101
eye become dull,eye become dull,eye become dull,20
eye closed,eye closed,eye closed,160
eye discharges,eye discharges,eye discharges,105
eye disharge,eye discharge,eye discharge,105
eye movements,eye movements,eye movements,202
eye redness,eye redness,eye redness,206
eye ulcer,eye ulcer,eye ulcer,1
eyeproblem,eye problem,eye problem,12
facial defects,facial defects,facial defects,131
facial edema,facial enema,facial enema,53
facial muscle twitching,facial muscle twitching,facial muscle twitching,179
facial paralysis,facial paralysis,facial paralysis,13
facial swelling,facial swelling,facial swelling,7
faeces are streake with blood,faeces are streak with blood,faeces are streak with blood,16
fast breathing,fast breathing,fast breathing,9
fatigue,fatigue,fatigue,413
fatique,fatigue,fatigue,413
fatty stool,fatty stool,fatty stool,5
feather loss,feather loss,feather loss,8
feather plucking,feather plucking,feather plucking,8
feels stiff,feels stiff,feels stiff,140
feline infections,feline infections,feline infections,260
fell unwell,fell unwell,fell unwell,36
fetopelvic dispropotion,get pelvic disproportion,get pelvic disproportion,225
fever,fever,fever,175
firm,firm,firm,339
flabby,flabby,soft,287
flaking of the scutes,flaking of the scutes,flaking of the scutes,280
flaky,flaky,flaky,219
flank,flank,flank,348
flat ribs,flat ribs,flat ribs,240
flatulence,flatulence,flatulence,59
fleece become thin,fleece become thin,fleece become thin,341
flock moratality,flock mortality,flock mortality,399
floopy muscle,floppy muscle,floppy muscle,297
fluffed feather,fluffed feather,fluffed feather,188
fluffed feathers,fluffed feathers,fluffed feathers,188
fluif faeces on blood and muscle,fluid faeces on blood and muscle,fluid faeces on blood and muscle,16
fluif filled blisters,fluid filled blisters,fluid filled blisters,218
folded ears,folded ears,folded ears,15
foot hot,foot hot,foot hot,118
formation of vesicles,formation of vesicles,formation of vesicles,247
forthy eye,forth eye,forth eye,201
foul breath,foul breath,foul breath,172
foul smelling,foul smelling,foul smelling,142
foul smelling stools,foul smelling stools,foul smelling stools,5
frequent eye infections,frequent eye infections,frequent eye infections,1
frequent yawning,frequent yawning,frequent yawning,421
gagging,gagging,gag,233
gas,gas,gas,355
gas or bloating,gas or bloating,gas or bloating,94
gasc,gas,gas,355
gasping,gasping,pant,405
gasping for air,gasping for air,gasping for air,107
gasping for breath,gasping for breath,gasping for breath,107
gastritis,gastritis,gastritis,63
general malaise,general malaise,general malaise,187
good appetite,good appetite,good appetite,4
green dropping,green dropping,green dropping,47
greenish diarrhea,greenish diarrhoea,greenish diarrhoea,17
greenish yellow nasal discharge,greenish yellow nasal discharge,greenish yellow nasal discharge,102
grinding of teeth,grinding of teeth,grinding of teeth,162
grinding teeth,grinding teeth,grinding teeth,162
groosly enlarged,grossly enlarged,grossly enlarged,93
grunting,grunting,grunt,365
gums,gums,chewing gum,377
gurgling sound,gurgling sound,gurgling sound,302
haemorrhage,haemorrhage,bleeding,99
hair loss,hair loss,hair loss,403
hair tining,hair dining,hair dining,344
hairy fleeces,hairy fleeces,hairy fleeces,159
half closed eye,half closed eye,half closed eye,160
halitosis,halitosis,halitosis,321
hardness,hardness,hardness,292
head ache,head ache,head ache,128
head pressing,head pressing,head pressing,299
head shking,head shaking,head shaking,196
head tilt,head tilt,head tilt,299
head tossing,head tossing,head tossing,299
headache,headache,concern,166
heat,heat,heat,438
heavy breathing,heavy breathing,heavy breathing,9
heavy infection,heavy infection,heavy infection,30
hematuria,haematuria,hematuria,75
hemoglobinuria,haemoglobin ria,haemoglobin ria,372
hemolytic anemia,hem lytic anaemia,hem lytic anaemia,75
hemopytsis,memory this,memory this,283
hepatic failure,hepatic failure,hepatic failure,208
hepatitis,hepatitis,hepatitis,83
high body temperature,high body temperature,high body temperature,414
high body temperaure,high body temperature,high body temperature,414
high moratality,high mortality,high mortality,37
high temperature,high temperature,high temperature,414
hind quarted soil,hind quarter soil,hind quarter soil,50
hoarseness,hoarseness,gruffness,395
hock joint,hock joint,hock joint,282
holding limbs off the ground,holding limbs off the ground,holding limbs off the ground,327
horny growth,horny growth,horny growth,34
hot joints,hot joints,hot joints,424
hot udder,hot udder,hot udder,249
hydrophobia,hydrophobia,hydrophobia,404
hyper sensitivity,hyper sensitivity,hyper sensitivity,108
hyperaestesia,hypertext asia,hypertext asia,315
hyperesthesia,hyper thesis,hyper thesis,324
hyperexcitability,hype excitability,hype excitability,124
immediate death,immediate death,immediate death,25
inability of swalllon feeding,inability of swallow feeding,inability of swallow feeding,2
inability to absorb nutrients,inability to absorb nutrients,inability to absorb nutrients,2
inability to digest,inability to digest,inability to digest,2
inability to fly,inability to fly,inability to fly,65
inability to jump,inability to jump,inability to jump,157
inability to rise,inability to rise,inability to rise,169
inability to stand,inability to stand,inability to stand,169
inappentence,ina sentence,ina sentence,242
inappetence,in pretence,in pretence,317
incoordination,incoordination,incoordination,361
increased in breathing,increased in breathing,increased in breathing,182
increased passing gas,increased passing gas,increased passing gas,182
indigestion,indigestion,indigestion,212
infected navels,infected navels,infected navels,137
infection,infection,infection,30
infection of the skin,infection of the skin,infection of the skin,87
inflamed nostrils,inflamed nostrils,inflamed nostrils,340
inflammation,inflammation,inflammation,210
inflammation of eye,inflammation of eye,inflammation of eye,1
inflammed eye,inflamed eye,inflamed eye,1
intellectual disability,intellectual disability,intellectual disability,314
iris prolapse,iris prolapse,iris prolapse,228
irritation,irritation,irritation,267
isolation from flock,isolation from flock,isolation from flock,54
itches,itches,scabies,78
itchiness,itchiness,itch,343
itching,itching,itch,343
jaundice,jaundice,jaundice,236
jaw is dropped,jaw is dropped,jaw is dropped,425
jerky limb movements,jerky limb movements,jerky limb movements,123
join pains,join pains,join pains,408
joint pain,joint pain,joint pain,80
kick,kick,kick,106
kicking,kicking,kick,106
kicking at the belly,kicking at the belly,kicking at the belly,106
kid moratality,kid mortality,kid mortality,37
kidney failure,kidney failure,kidney failure,208
labored breathing,laboured breathing,laboured breathing,9
lack of appetite,lack of appetite,lack of appetite,4
lack of coordination,lack of coordination,lack of coordination,91
lack of flying,lack of flying,lack of flying,65
lack of pigmentation,lack of pigmentation,lack of pigmentation,68
lack of vocalizations,lack of vocalizations,lack of vocalizations,164
lack of walking,lack of walking,lack of walking,91
lacrimation,lacrimation,lacrimation,418
lame,lame,square,256
lameness,lameness,lameness,51
lameness in affected leg,lameness in affected leg,lameness in affected leg,71
larynx,larynx,larynx,200
lathargy,lethargy,lethargy,312
legness,legless,legless,146
lepatomegaly,legato ebay,legato ebay,391
lesion,lesion,lesion,18
lesions,lesions,lesion,18
lesions in the nasal cavity,lesions in the nasal cavity,lesions in the nasal cavity,39
lesions on ear,lesions on ear,lesions on ear,39
lesions on nose,lesions on nose,lesions on nose,39
less eat,less eat,less eat,374
less feather growth,less feather growth,less feather growth,8
lession on cat skin,session on cat skin,session on cat skin,145
lession on the skin,session on the skin,session on the skin,145
lethargy,lethargy,lethargy,312
lightheadedness,lightheadedness,dizziness,294
limp,limp,hitch,265
limping,limping,lameness,51
lip,lip,lip,126
liquid dropping,liquid dropping,liquid dropping,74
listless,listless,listless,396
listlessness,listlessness,languor,311
liver disease,liver disease,liver disease,83
lllthrift,all thrift,all thrift,61
los of the ability to walk,los of the ability to walk,los of the ability to walk,135
loss in weight,loss in weight,loss in weight,185
loss od appetite,loss of appetite,loss of appetite,4
loss of activity,loss of activity,loss of activity,19
loss of alertness,loss of alertness,loss of alertness,19
loss of appetite,loss of appetite,loss of appetite,4
loss of appettite,loss of appetite,loss of appetite,4
loss of consciousness,loss of consciousness,loss of consciousness,19
loss of earing,loss of earing,loss of earing,19
loss of eat,loss of eat,loss of eat,4
loss of eye,loss of eye,loss of eye,19
loss of milk production,loss of milk production,loss of milk production,97
loss of pigment,loss of pigment,loss of pigment,68
loss of powder down,loss of powder down,loss of powder down,382
loss of tail tone,loss of tail tone,loss of tail tone,319
loss of vitamin e,loss of vitamin a,loss of vitamin a,23
loss of wariness,loss of wariness,loss of wariness,363
loss of wool,loss of wool,loss of wool,28
lossened teeth,lessened teeth,lessened teeth,411
lound breathing,found breathing,found breathing,306
lumps,lumps,ball,281
lying down,lying down,lying down,161
lying on the side,lying on the side,lying on the side,161
lymphosarcoma,lymphosarcoma,lymphosarcoma,255
malaise,malaise,malaise,187
malpresentation,a presentation,a presentation,333
mammary glads,mammary glads,mammary glads,431
mild colic,mild colic,mild colic,58
mild sneezing,mild sneezing,mild sneezing,49
mild weakness,mild weakness,mild weakness,46
milk getting out more thick,milk getting out more thick,milk getting out more thick,73
milk getting out more watery,milk getting out more watery,milk getting out more watery,73
milk reduce,milk reduce,milk reduce,97
milky hard,milky hard,milky hard,246
misshapen beak,misshapen beak,misshapen beak,150
moist,moist,damp,432
moist and painfull,moist and painful,moist and painful,285
morbidity,morbidity,morbidity,52
mortality,mortality,mortality,37
mortality varies,mortality varies,mortality varies,37
most often none,most often none,most often none,167
mouth lesion,mouth lesion,mouth lesion,18
mucous discharge,mucous discharge,mucous discharge,44
mucus discharge from the eye,mucus discharge from the eye,mucus discharge from the eye,44
mummification,mummification,mummification,215
muscle aches,muscle aches,muscle aches,38
muscle loss,muscle loss,muscle loss,38
muscle pain,muscle pain,muscle pain,38
muscle stiffness,muscle stiffness,muscle stiffness,140
muscle trembling,muscle trembling,muscle trembling,179
muscle twiching,muscle twitching,muscle twitching,179
muscle weakness,muscle weakness,muscle weakness,38
muscles ache,muscles ache,muscles ache,38
muscles problem,muscles problem,muscles problem,38
muscular spasms,muscular spasms,muscular spasms,98
muscular stiffness,muscular stiffness,muscular stiffness,140
muscus,mucus,mucus,44
nasal,nasal,nasal consonant,352
nasal bleeding,nasal bleeding,nasal bleeding,152
nasal discharge,nasal discharge,nasal discharge,102
nause,cause,cause,323
nausea,nausea,nausea,293
neck paralysis,neck paralysis,neck paralysis,13
neck vein swelling,neck vein swelling,neck vein swelling,296
nervous,nervous,nervous,115
nervous issue,nervous issue,nervous issue,115
nervousness,nervousness,jitteriness,72
nesting behaviour,nesting behaviour,nesting behaviour,209
neurologic abnormalities,neurologic abnormalities,neurologic abnormalities,79
neurologic sign,neurologic sign,neurologic sign,79
nible at their wool,bible at their wool,bible at their wool,119
no appp,no app,no app,272
noisy breathing,noisy breathing,noisy breathing,100
normal appetite,normal appetite,normal appetite,4
nose bleeds,nose bleeds,nose bleeds,152
nose picking,nose picking,nose picking,224
nosebleed,nosebleed,nosebleed,152
nosebleeds,nosebleeds,nosebleed,152
nostrils,nostrils,nostril,216
not eating,not eating,not eating,141
nuerological,neurological,neurological,79
obscure lameness,obscure lameness,obscure lameness,51
obstructed lungs,obstructed lungs,obstructed lungs,32
occular discharge,ocular discharge,ocular discharge,105
ocular discharge,ocular discharge,ocular discharge,105
odor to ear,door to ear,door to ear,353
oedema,oedema,edema,103
oral lesion,oral lesion,oral lesion,18
outstretched neck,outstretched neck,outstretched neck,14
overweight,overweight,corpulence,59
oxygen defiency,oxygen def ency,oxygen def ency,295
pain,pain,pain,95
pain and bloating,pain and bloating,pain and bloating,94
pain on face,pain on face,pain on face,378
pain on leg,pain on leg,pain on leg,143
painfull,painful,painful,95
painfull swalling,painful swelling,painful swelling,7
painfull to touch,painful to touch,painful to touch,170
pains,pains,striving,394
pains to walk,pains to walk,pains to walk,90
pale comb,pale comb,pale comb,92
pale gums,pale gums,pale gums,334
panting,panting,panting,354
papules appear on teats anad udder,papules appear on teats and udder,papules appear on teats and udder,325
paralysis,paralysis,paralysis,13
paralyzed leg,paralysed leg,paralysed leg,13
paresis,paresis,paresis,168
partial paralysis,partial paralysis,partial paralysis,13
passing of undigested food,passing of undigested food,passing of undigested food,10
pawing at bedding,pawing at bedding,pawing at bedding,85
pawing at the face or nose,pawing at the face or nose,pawing at the face or nose,85
periodic vommiting,periodic vomiting,periodic vomiting,433
pharyngitis,pharyngitis,sore throat,174
pink eye,pink eye,pink eye,62
pnemonia,pneumonia,pneumonia,213
pneumonia,pneumonia,pneumonia,213
polydipsa,polydipsia,polydipsia,397
polyuria,poly ria,poly ria,269
poor appetite,poor appetite,poor appetite,4
poor body condition,poor body condition,poor body condition,33
poor coat apperence,poor coat appearance,poor coat appearance,217
poor coat condition,poor coat condition,poor coat condition,217
poor condition,poor condition,poor condition,33
poor conformation,poor conformation,poor conformation,147
poor growth,poor growth,poor growth,34
poor immune function,poor immune function,poor immune function,177
poor wool,poor wool,poor wool,28
pot belly,pot belly,pot belly,136
pox lesion,pox lesion,pox lesion,366
pox lession on skin,pox session on skin,pox session on skin,366
preening,preening,preen,81
production of mucus,production of mucus,production of mucus,44
profuse,profuse,exuberant,181
progressive weakness,progressive weakness,progressive weakness,96
prostrat,prostrate,prostrate,0
pruritis,pruritus,pruritus,308
puffed up feather,puffed up feather,puffed up feather,188
pulmonary congestion,pulmonary congestion,pulmonary congestion,32
purplish combs,purplish combs,purplish combs,92
pustulses,pustules,pustule,197
pyrexia,pyrexia,fever,175
radip onset,radio onset,radio onset,198
raised growth or bump,raised growth or bump,raised growth or bump,24
rapid breathing,rapid breathing,rapid breathing,9
rapid heart rate,rapid heart rate,rapid heart rate,138
rapid heartbeats,rapid heartbeats,rapid heartbeats,138
rapid pulse and heart rates,rapid pulse and heart rates,rapid pulse and heart rates,138
raw,raw,raw,275
rectal bleeding,rectal bleeding,rectal bleeding,329
recumbency,recumbent,accumbent,385
red and inflammation ear,red and inflammation ear,red and inflammation ear,69
red colored,red coloured,red coloured,151
red diarrhea,red diarrhoea,red diarrhoea,17
red eye,red eye,red eye,62
red lesion from bald patches,red lesion from bald patches,red lesion from bald patches,3
red on affected area,red on affected area,red on affected area,3
red patches,red patches,red patches,3
red skin,red skin,red skin,77
red tinge,red tinge,red tinge,3
redness,redness,inflammation,210
redness of eye,redness of eye,redness of eye,206
redness of white of the eye,redness of white of the eye,redness of white of the eye,206
redness on ear,redness on ear,redness on ear,69
reduce energy,reduce energy,reduce energy,386
reduce feed,reduce feed,reduce feed,345
reduce growth,reduce growth,reduce growth,34
reduce lamp marking,reduce lamp marking,reduce lamp marking,194
reduce milk,reduce milk,reduce milk,97
reduce reproductive potential,reduce reproductive potential,reduce reproductive potential,186
reduced appetite,reduced appetite,reduced appetite,4
regurgitation of food,regurgitation of food,regurgitation of food,10
reluctant move,reluctant move,reluctant move,120
relunctance to move,reluctance to move,reluctance to move,120
relunctance to walk,reluctance to walk,reluctance to walk,90
respiratory distress,respiratory distress,respiratory distress,32
respiratory infection,respiratory infection,respiratory infection,32
respiratory noise,respiratory noise,respiratory noise,100
restless movement,restless movement,restless movement,72
restlessness,restlessness,restlessness,72
retained placenda,retained placenta,retained placenta,274
retarded growth,retarded growth,retarded growth,34
retching,retching,vomit,268
rhinitis,rhinitis,rhinitis,435
rhinorrhea,rhino rhea,rhino rhea,193
ring shaped lesion,ring shaped lesion,ring shaped lesion,18
rough coat,rough coat,rough coat,40
rough hair coat,rough hair coat,rough hair coat,40
roughened,roughened,roughen,178
round patches,round patches,round patches,89
rub,rub,hang-up,226
rubbing eye,rubbing eye,rubbing eye,410
ruffled appearance,ruffled appearance,ruffled appearance,195
ruffled coat,ruffled coat,ruffled coat,195
ruffled feathers,ruffled feathers,ruffled feathers,195
rump,rump,hindquarters,50
runny nose,runny nose,runny nose,370
salivating,salivating,salivate,21
salivation,salivation,salivation,21
scabbing,stabbing,knife,231
scabs,scabs,scab,78
scabs on feet,scabs on feet,scabs on feet,78
scabs on lip,scabs on lip,scabs on lip,204
scaly patches of skin,scaly patches of skin,scaly patches of skin,171
scaly skin,scaly skin,scaly skin,171
scartch,scratch,abrasion,129
scartches,scratches,abrasion,129
scartching,scratching,scrape,375
scartching ear,scratching ear,scratching ear,337
scratches,scratches,abrasion,129
scratching,scratching,scrape,375
secondary infection,secondary infection,secondary infection,30
seizuers,seizures,seizure,60
seizures,seizures,seizure,60
self isolation,self isolation,self isolation,54
self mutilation,self mutilation,self mutilation,279
semen examination,semen examination,semen examination,251
sensitive to touch,sensitive to touch,sensitive to touch,170
sensitivity to bright light,sensitivity to bright light,sensitivity to bright light,108
septic arthritis,septic arthritis,septic arthritis,55
septicemia,septicaemia,blood poisoning,27
severe,severe,severe,262
severe colic,severe colic,severe colic,58
severe headache,severe headache,severe headache,128
severe inflammation,severe inflammation,severe inflammation,210
severe kerititis,severe keratitis,severe keratitis,180
severe swellimg,severe swelling,severe swelling,7
severe weekness and depression,severe weakness and depression,severe weakness and depression,46
shaking head,shaking head,shaking head,196
shaking oh head,shaking of head,shaking of head,196
shallow breathing,shallow breathing,shallow breathing,9
sharp feather,sharp feather,sharp feather,188
sheep often bites,sheep often bites,sheep often bites,189
shivering,shivering,chill,359
shock,shock,daze,229
short stature,short stature,short stature,393
short term lethargy,short term lethargy,short term lethargy,312
shortness of breath,shortness of breath,shortness of breath,9
shyness or aggression,shyness or aggression,shyness or aggression,437
sick,sick,sick,227
sickness,sickness,illness,36
signs in ewe,signs in ewe,signs in ewe,11
signs in rams,signs in rams,signs in rams,11
sinuses,sinuses,fistula,254
size of lesions vary,size of lesions vary,size of lesions vary,288
skeleten abnormalities,skeleton abnormalities,skeleton abnormalities,428
skeleten pain,skeleton pain,skeleton pain,80
skin color change,skin color change,skin color change,101
skin colour change,skin colour change,skin colour change,101
skin infection,skin infection,skin infection,87
skin irritation,skin irritation,skin irritation,87
skin issue,skin issue,skin issue,87
