AnimalGroup,Animal,Species,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,symptoms1_cluster,symptoms1_corrected,symptoms1_canonical,symptoms2_cluster,symptoms2_corrected,symptoms2_canonical,symptoms3_cluster,symptoms3_corrected,symptoms3_canonical,symptoms4_cluster,symptoms4_corrected,symptoms4_canonical,symptoms5_cluster,symptoms5_corrected,symptoms5_canonical
mammal,cat-like,cat,bloody urine,diffculty breathing,vomiting,weight loss,anorexia,yes,27,bloody urine,bloody urine,9,difficulty breathing,difficulty breathing,268,vomiting,vomit,185,weight loss,weight loss,56,anorexia,anorexia
mammal,cat-like,cat,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,yes,4,loss of eat,loss of eat,9,difficulty in breathing,difficulty in breathing,7,swelling,swelling,51,lameness,lameness,79,neurologic abnormalities,neurologic abnormalities
mammal,cat-like,cat,dark or black face,diarrhea,vomiting,blood in faces,pain,yes,264,dark or black face,dark or black face,17,diarrhoea,diarrhea,268,vomiting,vomit,27,blood in faces,blood in faces,95,pain,pain
mammal,cat-like,cat,jaundice,difficulty in breathing,seizuers,lethargy,pale gums,yes,236,jaundice,jaundice,9,difficulty in breathing,difficulty in breathing,60,seizures,seizure,312,lethargy,lethargy,334,pale gums,pale gums
mammal,cat-like,cat,appetite varies,diarrhea,vomiting,weight loss,pain,yes,4,appetite varies,appetite varies,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,95,pain,pain
mammal,cat-like,cat,loss of eat,fell unwell,lethargy,weight loss,skin issue,yes,4,loss of eat,loss of eat,36,fell unwell,fell unwell,312,lethargy,lethargy,185,weight loss,weight loss,87,skin issue,skin issue
mammal,cat-like,cat,sickness,loss of appetite,vomiting,weight loss,raised growth or bump,yes,36,sickness,illness,4,loss of appetite,loss of appetite,268,vomiting,vomit,185,weight loss,weight loss,24,raised growth or bump,raised growth or bump
mammal,cat-like,cat,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,yes,152,nasal bleeding,nasal bleeding,2,difficulty chewing,difficulty chewing,7,swelling,swelling,185,weight loss,weight loss,56,anorexia,anorexia
mammal,cat-like,cat,ulcers,lesions,scabs,lumps,bumps black grey or red,yes,257,ulcers,ulcer,18,lesions,lesion,78,scabs,scab,281,lumps,ball,24,bumps black grey or red,bumps black grey or red
mammal,cat-like,cat,gasc,loss of appetite,blood in stool,stomach growling,black stool,yes,355,gas,gas,4,loss of appetite,loss of appetite,27,blood in stool,blood in stool,41,stomach growling,stomach growling,5,black stool,black stool
mammal,cat-like,cat,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,yes,196,shaking head,shaking head,337,scratching ear,scratching ear,423,black on ear,black on ear,142,bad smell,bad smell,69,red and inflammation ear,red and inflammation ear
mammal,cat-like,cat,attacks,loss of appetite,coughing,weight loss,periodic vommiting,yes,409,attacks,attack,4,loss of appetite,loss of appetite,86,coughing,cough,185,weight loss,weight loss,433,periodic vomiting,periodic vomiting
mammal,cat-like,cat,blood stool,diarrhea,coughing,weight loss,anemia,yes,27,blood stool,blood stool,17,diarrhoea,diarrhea,86,coughing,cough,185,weight loss,weight loss,422,anaemia,anemia
mammal,cat-like,cat,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,yes,102,nasal discharge,nasal discharge,152,nosebleeds,nosebleed,340,inflamed nostrils,inflamed nostrils,49,sneezing,sneeze,306,found breathing,found breathing
mammal,cat-like,cat,polyuria,loss of appetite,vomiting,weight loss,polydipsa,yes,269,poly ria,poly ria,4,loss of appetite,loss of appetite,268,vomiting,vomit,185,weight loss,weight loss,397,polydipsia,polydipsia
mammal,cat-like,cat,exessive urination,change in gait,vomiting,weight loss,inability to jump,yes,22,excessive urination,excessive urination,84,change in gait,change in gait,268,vomiting,vomit,185,weight loss,weight loss,157,inability to jump,inability to jump
mammal,cat-like,cat,convulsion,loss of consciousness,chewing,twitching,salivating,yes,168,convulsion,paroxysm,19,loss of consciousness,loss of consciousness,377,chewing,chew,223,twitching,twitch,21,salivating,salivate
mammal,cat-like,cat,wheezing,rapid breathing,coughing,swallowing,effort to breath,yes,320,wheezing,wheeze,9,rapid breathing,rapid breathing,86,coughing,cough,338,swallowing,swallow,9,effort to breath,effort to breath
mammal,cat-like,cat,jaundice,weekness,lethargy,weight loss,anorexia,yes,236,jaundice,jaundice,266,weakness,failing,312,lethargy,lethargy,185,weight loss,weight loss,56,anorexia,anorexia
mammal,cat-like,cat,lession on cat skin,dandruff in cat coat,red patches,hair loss,skin issue,yes,145,session on cat skin,session on cat skin,112,dandruff in cat coat,dandruff in cat coat,3,red patches,red patches,403,hair loss,hair loss,87,skin issue,skin issue
mammal,cat-like,cat,lethargy,diarrhea,vomiting,discharge from eye,anorexia,yes,312,lethargy,lethargy,17,diarrhoea,diarrhea,268,vomiting,vomit,105,discharge from eye,discharge from eye,56,anorexia,anorexia
mammal,cat-like,cat,skin irritation,scartching,lethargy,hair loss,excessive grooming,yes,87,skin irritation,skin irritation,375,scratching,scrape,312,lethargy,lethargy,403,hair loss,hair loss,270,excessive grooming,excessive grooming
mammal,cat-like,cat,floopy muscle,speech delay,intellectual disability,walking problem,eye movements,yes,297,floppy muscle,floppy muscle,367,speech delay,speech delay,314,intellectual disability,intellectual disability,90,walking problem,walking problem,202,eye movements,eye movements
mammal,cat-like,cat,sensitivity to bright light,disharge from affected eye,inflammation,clouded cornea,rubbing eye,yes,108,sensitivity to bright light,sensitivity to bright light,105,discharge from affected eye,discharge from affected eye,210,inflammation,inflammation,176,clouded cornea,clouded cornea,410,rubbing eye,rubbing eye
mammal,cat-like,cat,fever,diarrhea,vomiting,cramps,dehydration,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,98,cramps,spasm,35,dehydration,dehydration
mammal,cat-like,cat,tenderness,erythema,swelling,scartch,pain,yes,45,tenderness,tenderness,103,erythema,erythema,7,swelling,swelling,129,scratch,abrasion,95,pain,pain
mammal,cat-like,cat,fever,diarrhea,vomiting,salivation,decrease appetite,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,21,salivation,salivation,4,decrease appetite,decrease appetite
mammal,cat-like,cat,scaly patches of skin,sore,scabs,scartch,hair loss,yes,171,scaly patches of skin,scaly patches of skin,336,sore,sore,78,scabs,scab,129,scratch,abrasion,403,hair loss,hair loss
mammal,cat-like,cat,fatty stool,diarrhea,vomiting,weight loss,pain,yes,5,fatty stool,fatty stool,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,95,pain,pain
mammal,cat-like,cat,nausea,loss of appetite,vomiting,firm,distended stomach,yes,293,nausea,nausea,4,loss of appetite,loss of appetite,268,vomiting,vomit,339,firm,firm,153,distended stomach,distended stomach
mammal,cat-like,cat,fever,swelling in the bite area,lethargy,limp,pain,yes,175,fever,fever,7,swelling in the bite area,swelling in the bite area,312,lethargy,lethargy,265,limp,hitch,95,pain,pain
mammal,cat-like,cat,fever,loss of appetite,eyeproblem,liver disease,nuerological,yes,175,fever,fever,4,loss of appetite,loss of appetite,12,eye problem,eye problem,83,liver disease,liver disease,79,neurological,neurological
mammal,cat-like,cat,fever,mild sneezing,coughing,nasal,ocular discharge,yes,175,fever,fever,49,mild sneezing,mild sneezing,86,coughing,cough,352,nasal,nasal consonant,105,ocular discharge,ocular discharge
mammal,rodent,rabbit,most often none,sneezing,nasal discharge,dyspnea,pain,yes,167,most often none,most often none,49,sneezing,sneeze,102,nasal discharge,nasal discharge,316,dyspnoea,dyspnea,95,pain,pain
mammal,rodent,rabbit,fever,diarrhea,vomiting,blood from mouth,shock,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,27,blood from mouth,blood from mouth,229,shock,daze
mammal,rodent,rabbit,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,yes,45,discomfort,discomfort,17,diarrhoea,diarrhea,173,dry or dull hair,dry or dull hair,162,grinding teeth,grinding teeth,95,pain,pain
mammal,rodent,rabbit,loss of appetite,swelling,nasal discharge,blindness,lethargy,yes,4,loss of appetite,loss of appetite,7,swelling,swelling,102,nasal discharge,nasal discharge,184,blindness,blindness,312,lethargy,lethargy
mammal,rodent,rabbit,rhinitis,pneumonia,abscessess,torticollis,septicemia,yes,435,rhinitis,rhinitis,213,pneumonia,pneumonia,350,abscesses,abscess,6,torticollis,torticollis,27,septicaemia,blood poisoning
mammal,rodent,rabbit,fever,diarrhea,enteritis,weight loss,stomach cramps,yes,175,fever,fever,17,diarrhoea,diarrhea,63,enteritis,enteritis,185,weight loss,weight loss,41,stomach cramps,stomach cramps
mammal,rodent,rabbit,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,yes,25,immediate death,immediate death,9,difficulty in breathing,difficulty in breathing,400,blue coloured lip,blue coloured lip,27,bloody discharge,bloody discharge,79,neurologic abnormalities,neurologic abnormalities
mammal,rodent,rabbit,fever,pox lession on skin,skin reashes,nasal discharge,mortality varies,yes,175,fever,fever,366,pox session on skin,pox session on skin,420,skin reaches,skin reaches,102,nasal discharge,nasal discharge,37,mortality varies,mortality varies
mammal,rodent,rabbit,red on affected area,horny growth,wart like growth,red skin,lesions on ear,yes,3,red on affected area,red on affected area,34,horny growth,horny growth,310,wart like growth,wart like growth,77,red skin,red skin,39,lesions on ear,lesions on ear
mammal,rodent,rabbit,fever,chills,skin ulcer,exhaustion,swollen and painfull,yes,175,fever,fever,359,chills,chill,87,skin ulcer,skin ulcer,413,exhaustion,exhaustion,7,swollen and painful,swollen and painful
mammal,rodent,rabbit,watering diarrhea,depression,emaciation,ruffled coat,lethargy,yes,17,watering diarrhoea,watering diarrhoea,43,depression,depression,148,emaciation,bonyness,195,ruffled coat,ruffled coat,312,lethargy,lethargy
mammal,even-toed ungulates,cattle,loss in weight,emaciation,loss of appetite,weakness,diarrhoea,yes,185,loss in weight,loss in weight,148,emaciation,bonyness,4,loss of appetite,loss of appetite,266,weakness,failing,17,diarrhoea,diarrhea
bird,fowl,chicken,loss of appetite,diarrhea,swollen purple wattle,swollen comb,lameness,yes,4,loss of appetite,loss of appetite,17,diarrhoea,diarrhea,387,swollen purple wattle,swollen purple wattle,92,swollen comb,swollen comb,51,lameness,lameness
bird,fowl,chicken,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients,yes,4,loss of appetite,loss of appetite,17,diarrhoea,diarrhea,195,ruffled feathers,ruffled feathers,185,weight loss,weight loss,2,inability to absorb nutrients,inability to absorb nutrients
bird,fowl,chicken,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,yes,104,egg production decreases,egg production decreases,34,stunted growth,stunted growth,184,blindness,blindness,24,distinctive bumps,distinctive bumps,7,facial swelling,facial swelling
bird,fowl,chicken,loss of appetite,thirst,ruffled feathers,closed eyes,diarrhea,yes,4,loss of appetite,loss of appetite,35,thirst,thirst,195,ruffled feathers,ruffled feathers,160,closed eyes,closed eyes,17,diarrhoea,diarrhea
mammal,even-toed ungulates,cattle,fever,weakened legs,los of the ability to walk,mammary glads,fluif filled blisters,yes,175,fever,fever,31,weakened legs,weakened legs,135,los of the ability to walk,los of the ability to walk,431,mammary glads,mammary glads,218,fluid filled blisters,fluid filled blisters
mammal,even-toed ungulates,cattle,fever,weakened legs,los of the ability to walk,weight loss,lameness,yes,175,fever,fever,31,weakened legs,weakened legs,135,los of the ability to walk,los of the ability to walk,185,weight loss,weight loss,51,lameness,lameness
mammal,even-toed ungulates,cattle,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,yes,76,abortion at the end of gestation,abortion at the end of gestation,413,fatigue,fatigue,31,weak calves,weak calves,408,join pains,join pains,7,swelling of internal organs,swelling of internal organs
mammal,unknown,unknown,swollen,red colored,hot udder,milk getting out more watery,milk getting out more thick,yes,331,swollen,swell,151,red coloured,red coloured,249,hot udder,hot udder,73,milk getting out more watery,milk getting out more watery,73,milk getting out more thick,milk getting out more thick
mammal,even-toed ungulates,cattle,fever,distress,trembling,staggering,convulsion,yes,175,fever,fever,43,distress,distress,196,trembling,shaking,390,staggering,stagger,168,convulsion,paroxysm
mammal,even-toed ungulates,cattle,fever,animal become lame,prostrat,painfull swalling,lameness,yes,175,fever,fever,349,animal become lame,animal become lame,0,prostrate,prostrate,7,painful swelling,painful swelling,51,lameness,lameness
mammal,even-toed ungulates,cattle,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,21,dribbling of saliva,dribbling of saliva,2,inability of swallow feeding,inability of swallow feeding,285,moist and painful,moist and painful
mammal,even-toed ungulates,cattle,fluif faeces on blood and muscle,sudden death,blooody fluid,red diarrhea,faeces are streake with blood,yes,16,fluid faeces on blood and muscle,fluid faeces on blood and muscle,25,sudden death,sudden death,27,bloody fluid,bloody fluid,17,red diarrhoea,red diarrhoea,16,faeces are streak with blood,faeces are streak with blood
mammal,even-toed ungulates,cattle,fever,pneumonia,stand with head droping,weight loss,abnormal behaviour,yes,175,fever,fever,213,pneumonia,pneumonia,277,stand with head dropping,stand with head dropping,185,weight loss,weight loss,342,abnormal behaviour,abnormal behaviour
mammal,even-toed ungulates,cattle,fever,slightly swollen,lession on the skin,milky hard,papules appear on teats anad udder,yes,175,fever,fever,93,slightly swollen,slightly swollen,145,session on the skin,session on the skin,246,milky hard,milky hard,325,papules appear on teats and udder,papules appear on teats and udder
mammal,even-toed ungulates,cattle,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,yes,175,fever,fever,67,dull,dull,50,hind quarter soil,hind quarter soil,252,animal stop feed,animal stop feed,97,decrease in milk production,decrease in milk production
mammal,even-toed ungulates,cattle,severe,diarrhea,blood on faces,appetite,milk reduce,yes,262,severe,severe,17,diarrhoea,diarrhea,27,blood on faces,blood on faces,4,appetite,appetite,97,milk reduce,milk reduce
mammal,even-toed ungulates,cattle,fever,depression,relunctance to move,salivation,nasal discharge,yes,175,fever,fever,43,depression,depression,120,reluctance to move,reluctance to move,21,salivation,salivation,102,nasal discharge,nasal discharge
mammal,even-toed ungulates,cattle,normal appetite,diarrhea,swelling may occur under jaw,weight loss,drop in milk production,yes,4,normal appetite,normal appetite,17,diarrhoea,diarrhea,7,swelling may occur under jaw,swelling may occur under jaw,185,weight loss,weight loss,97,drop in milk production,drop in milk production
mammal,even-toed ungulates,cattle,swelling on leg,heat,hardness,redness,pain,yes,7,swelling on leg,swelling on leg,438,heat,heat,292,hardness,hardness,210,redness,inflammation,95,pain,pain
mammal,even-toed ungulates,cattle,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat,yes,169,inability to stand,inability to stand,17,diarrhoea,diarrhea,183,bottle jaw,bottle jaw,136,pot belly,pot belly,40,dry hair coat,dry hair coat
mammal,even-toed ungulates,cattle,excitability,nervousness,loss of appetite,hyper sensitivity,weakness,yes,389,excitability,excitability,72,nervousness,jitteriness,4,loss of appetite,loss of appetite,108,hyper sensitivity,hyper sensitivity,266,weakness,failing
mammal,even-toed ungulates,cattle,fever,depression,attack,bite other animals,pain,yes,175,fever,fever,43,depression,depression,409,attack,attack,357,bite other animals,bite other animals,95,pain,pain
mammal,even-toed ungulates,cattle,fever,difficulty in breathing,coughing,painfull,eye become dull,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,86,coughing,cough,95,painful,painful,20,eye become dull,eye become dull
mammal,even-toed ungulates,cattle,fever,ulcer on gum,red eye,yellowish discharge,bloody diarrhea,yes,175,fever,fever,26,ulcer on gum,ulcer on gum,62,red eye,red eye,102,yellowish discharge,yellowish discharge,17,bloody diarrhoea,bloody diarrhoea
mammal,even-toed ungulates,cattle,fever,diarrhea,coughing,consistency of milk,pain,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,73,consistency of milk,consistency of milk,95,pain,pain
mammal,even-toed ungulates,cattle,animal gets uneasy,difficulty in breathing,difficult in respiration,excessive production,stamping and pedding of hind eye,yes,360,animal gets uneasy,animal gets uneasy,9,difficulty in breathing,difficulty in breathing,9,difficult in respiration,difficult in respiration,417,excessive production,excessive production,351,stamping and wedding of hind eye,stamping and wedding of hind eye
mammal,odd-toed ungulates,horse,fever,chills,severe colic,weakness,anorexia,yes,175,fever,fever,359,chills,chill,58,severe colic,severe colic,266,weakness,failing,56,anorexia,anorexia
mammal,odd-toed ungulates,horse,fever,body stiffness,lethargy,severe inflammation,pain,yes,175,fever,fever,140,body stiffness,body stiffness,312,lethargy,lethargy,210,severe inflammation,severe inflammation,95,pain,pain
mammal,odd-toed ungulates,horse,sickness,diarrhea,weight loss,nausea,dehydration,yes,36,sickness,illness,17,diarrhoea,diarrhea,185,weight loss,weight loss,293,nausea,nausea,35,dehydration,dehydration
mammal,odd-toed ungulates,horse,sudden death,trouble walking,paralysis,depression,convulsion,yes,25,sudden death,sudden death,90,trouble walking,trouble walking,13,paralysis,paralysis,43,depression,depression,168,convulsion,paroxysm
mammal,odd-toed ungulates,horse,fever,abortion,kidney failure,inflammation of eye,eye redness,yes,175,fever,fever,76,abortion,abortion,208,kidney failure,kidney failure,1,inflammation of eye,inflammation of eye,206,eye redness,eye redness
mammal,odd-toed ungulates,horse,small red bumps,pneumonia,septic arthritis,skin infection,pain,yes,24,small red bumps,small red bumps,213,pneumonia,pneumonia,55,septic arthritis,septic arthritis,87,skin infection,skin infection,95,pain,pain
mammal,odd-toed ungulates,horse,fever,ataxia,aggressiveness,depression,obscure lameness,yes,175,fever,fever,56,ataxia,ataxia,116,aggressiveness,aggressiveness,43,depression,depression,51,obscure lameness,obscure lameness
mammal,odd-toed ungulates,horse,ring shaped lesion,round patches,dry skin,size of lesions vary,pain,yes,18,ring shaped lesion,ring shaped lesion,89,round patches,round patches,144,dry skin,dry skin,288,size of lesions vary,size of lesions vary,95,pain,pain
mammal,odd-toed ungulates,horse,fever,diarrhea,loss of appetite,colic,weakness,yes,175,fever,fever,17,diarrhoea,diarrhea,4,loss of appetite,loss of appetite,58,colic,colic,266,weakness,failing
mammal,odd-toed ungulates,horse,fever,depression,loss of appetite,stumbling,ataxia,yes,175,fever,fever,43,depression,depression,4,loss of appetite,loss of appetite,250,stumbling,stumble,56,ataxia,ataxia
reptile,turtle,unknown,bubbles in the mouth,wheezing,loss of appetite,lethargy,nasal discharge,yes,388,bubbles in the mouth,bubbles in the mouth,320,wheezing,wheeze,4,loss of appetite,loss of appetite,312,lethargy,lethargy,102,nasal discharge,nasal discharge
reptile,turtle,unknown,changes in outer layer skin,swelling of eye,loss of appetite,lethargy,respiratory infection,yes,110,changes in outer layer skin,changes in outer layer skin,7,swelling of eye,swelling of eye,4,loss of appetite,loss of appetite,312,lethargy,lethargy,32,respiratory infection,respiratory infection
reptile,turtle,unknown,red tinge,slim over the shell,bad smell,easily damage shell,flaking of the scutes,yes,3,red tinge,red tinge,326,slim over the shell,slim over the shell,142,bad smell,bad smell,373,easily damage shell,easily damage shell,280,flaking of the scutes,flaking of the scutes
reptile,turtle,unknown,passing of undigested food,diarrhea,vomiting,gas or bloating,dehydration,yes,10,passing of undigested food,passing of undigested food,17,diarrhoea,diarrhea,268,vomiting,vomit,94,gas or bloating,gas or bloating,35,dehydration,dehydration
mammal,rodent,hamster,loss of activity,rough coat,loss of appetite,weight loss,eventually death,yes,19,loss of activity,loss of activity,40,rough coat,rough coat,4,loss of appetite,loss of appetite,185,weight loss,weight loss,25,eventually death,eventually death
